owner_id,owner_age_group,owner_gender,district,neighborhood_code,breed_primary,breed_primary_is_mixed,breed_secondary,breed_secondary_is_mixed,breed_type,dog_birth_year,dog_gender,dog_color
24041,41-50,female,11,115,Bergamasker,False,Border Collie,False,large/working,2019.0,female,black/white
24246,51-60,male,10,102,Samojede,False,,False,large/working,2018.0,female,white
44439,71-80,male,7,74,Mixed breed (small),False,,False,small/companion,2005.0,male,light brown
54322,71-80,male,3,33,Lagotto Romagnolo,False,,False,large/working,2009.0,male,white/orange
55176,71-80,male,3,34,Dobermann,False,,False,large/working,2016.0,male,black/brown
55693,71-80,female,11,119,Chihuahua,False,,False,small/companion,2011.0,female,brown/white
55835,71-80,female,8,82,Lagotto Romagnolo,False,,False,large/working,2009.0,male,chestnut roan
60348,71-80,male,11,111,Mixed breed (small),False,,False,small/companion,2013.0,female,black/white
60402,61-70,female,11,111,Mixed breed (small),False,,False,small/companion,2013.0,male,dark brown
61323,71-80,male,8,81,Mudi,False,,False,large/working,2010.0,male,blonde
62389,71-80,male,8,83,Boxer,False,,False,large/working,2014.0,female,brindle
62628,71-80,male,7,72,Yorkshire Terrier,False,,False,small/companion,2007.0,female,gray-brown
63468,81-90,male,7,74,Pekingese,False,,False,small/companion,2012.0,male,black/white
63704,71-80,male,10,101,Dachshund,False,,False,small/companion,2012.0,female,wild boar colored
64444,61-70,male,7,71,Mixed breed (small),False,,False,small/companion,2007.0,female,red/white
64727,51-60,male,8,83,Appenzeller Sennenhund,False,Border Collie,False,large/working,2016.0,male,tricolor
65665,61-70,female,8,82,Pug,False,,False,small/companion,2019.0,male,beige/black
65681,51-60,male,2,21,Italian Greyhound,False,,False,small/companion,2011.0,male,blue
65713,71-80,female,2,21,Lagotto Romagnolo,False,,False,large/working,2005.0,female,brown
65713,71-80,female,2,21,Lagotto Romagnolo,False,,False,large/working,2017.0,female,brown
65732,51-60,male,7,72,Dutch Shepherd,False,,False,large/working,2009.0,male,brindle
65758,51-60,female,7,71,Yorkshire Terrier,False,,False,small/companion,2007.0,male,black/tan
65794,51-60,male,7,72,Lagotto Romagnolo,False,,False,large/working,2017.0,male,brown/white
65940,51-60,female,8,81,Bernese Mountain Dog,False,,False,large/working,2019.0,female,tricolor
65975,61-70,female,7,74,Cocker Spaniel,False,,False,small/companion,2018.0,male,light brown/white
65975,61-70,female,7,74,Labrador Retriever,False,,False,large/working,2010.0,female,brown
65975,61-70,female,7,74,Labrador Retriever,False,,False,large/working,2006.0,male,black
65981,51-60,female,6,63,Labrador Retriever,False,,False,large/working,2013.0,male,yellow
65981,51-60,female,6,63,Labrador Retriever,False,,False,large/working,2017.0,male,yellow
66151,51-60,male,11,115,German Shepherd,False,,False,large/working,2008.0,female,black/brown/white
66298,51-60,male,6,63,Magyar Viszla,False,,False,large/working,2010.0,male,yellow
66323,51-60,male,8,83,Mixed breed (small),False,,False,small/companion,2017.0,male,brown
66515,61-70,male,8,83,Labrador Retriever,False,,False,large/working,2007.0,female,brown
66515,61-70,male,8,83,Labrador Retriever,False,,False,large/working,2011.0,female,brown
66757,51-60,female,1,14,Mixed breed (large),False,,False,large/working,2012.0,male,brown/beige
66869,51-60,female,2,24,Havanese,False,,False,small/companion,2015.0,male,brown/red
67001,51-60,female,3,34,Pug,False,,False,small/companion,2013.0,male,beige
67018,71-80,female,6,61,Labrador Retriever,False,,False,large/working,2012.0,male,beige
67125,61-70,male,7,74,Rhodesian Ridgeback,False,,False,large/working,2017.0,male,blue/tan
67135,41-50,male,6,61,Jack Russel Terrier,False,,False,small/companion,2010.0,female,tricolor
67135,41-50,male,6,61,Jack Russel Terrier,False,,False,small/companion,2017.0,female,tricolor
67220,71-80,male,2,21,Mixed breed (small),False,,False,small/companion,2010.0,male,brown
67272,31-40,female,3,33,Beagle,False,,False,small/companion,2017.0,female,tricolor
67308,51-60,female,11,111,Shih Tzu,False,,False,small/companion,2012.0,female,brown/white
67327,41-50,male,5,52,Poodle,False,Golden Retriever,False,large/working,2018.0,male,cream
70076,41-50,male,9,92,Labrador Retriever,False,,False,large/working,2009.0,male,brown
70115,41-50,female,3,31,Mixed breed (large),False,,False,large/working,2016.0,male,black/white
70152,61-70,male,8,82,Bavarian Mountain Scent Hound,False,Border Collie,False,large/working,2018.0,female,black
70176,41-50,female,4,44,Mixed breed (large),False,,False,large/working,2012.0,female,white
70296,51-60,female,7,74,Pinscher,True,,False,small/companion,2009.0,male,light brown
70296,51-60,female,7,74,Mixed breed (small),False,,False,small/companion,2010.0,female,white/beige
70577,51-60,female,3,34,Mixed breed (small),False,,False,small/companion,2014.0,female,blonde
70788,31-40,male,7,71,Pug,False,Beagle,False,small/companion,2014.0,female,brown
71024,61-70,female,7,74,Lagotto Romagnolo,False,,False,large/working,2012.0,female,bianco-aranico
71142,51-60,female,7,71,Canaan Dog,False,,False,large/working,2008.0,male,black
71555,71-80,male,7,71,Braque d'Auvergne,False,,False,large/working,2018.0,male,black/white
71670,61-70,male,7,71,German Shepherd,False,,False,large/working,2012.0,female,brown
71885,71-80,female,7,73,Mixed breed (small),False,,False,small/companion,2013.0,female,white/brown
71893,51-60,female,6,63,Border Collie,False,,False,large/working,2012.0,female,tricolor
71991,51-60,male,6,63,Border Collie,False,,False,large/working,2015.0,male,black/white
72136,61-70,male,7,72,Labrador Retriever,False,,False,large/working,2007.0,male,chocolate
72580,41-50,male,10,102,Prager Rattler,False,,False,small/companion,2013.0,male,light brown
72580,41-50,male,10,102,Prager Rattler,False,,False,small/companion,2013.0,male,brown
80007,71-80,male,11,111,Labrador Retriever,False,,False,large/working,2016.0,male,black
80011,51-60,female,12,123,Yorkshire Terrier,False,,False,small/companion,2009.0,male,tricolor
80021,51-60,female,11,111,Labrador Retriever,False,,False,large/working,2011.0,female,black
80023,71-80,male,11,111,Border Collie,False,,False,large/working,2010.0,male,tricolor
80023,71-80,male,11,111,Border Collie,False,,False,large/working,2014.0,female,black/white
80028,41-50,female,10,101,Border Collie,False,German Shepherd,False,large/working,2015.0,female,tricolor
80056,81-90,male,7,74,Labrador Retriever,False,,False,large/working,2006.0,female,black
80059,71-80,female,12,123,French Bulldog,False,,False,small/companion,2007.0,female,white
80068,51-60,male,9,91,Bavarian Mountain Scent Hound,False,,False,large/working,2011.0,male,fawn red with mask
80096,51-60,female,11,111,Shih Tzu,True,,False,small/companion,2014.0,male,beige
80099,81-90,male,12,123,Pinscher,False,,False,small/companion,2002.0,male,red
80106,61-70,female,9,91,Labrador Retriever,False,Golden Retriever,False,large/working,2009.0,male,black
80127,51-60,female,10,101,Mixed breed (large),False,,False,large/working,2016.0,male,white/brown
80134,71-80,male,9,91,Mixed breed (large),False,,False,large/working,2016.0,female,white
80141,51-60,male,11,111,Yorkshire Terrier,True,,False,small/companion,2003.0,female,black/brown/gray
80162,61-70,male,12,123,Spitz (generic),True,,False,small/companion,2004.0,male,black/white
80162,61-70,male,12,123,Parson Jack Russell Terrier,False,,False,small/companion,2008.0,male,white/red
80168,61-70,male,11,119,Labrador Retriever,False,,False,large/working,2005.0,male,beige
80172,61-70,male,9,91,Labrador Retriever,False,,False,large/working,2008.0,male,black
80185,41-50,male,10,102,Labrador Retriever,False,,False,large/working,2010.0,female,blonde
80205,41-50,male,5,51,Beauceron Berge de Beauce,False,,False,large/working,2016.0,male,black/brown
80226,71-80,female,6,61,Labrador Retriever,False,,False,large/working,2018.0,female,blonde
80230,61-70,female,9,92,Yorkshire Terrier,False,,False,small/companion,2006.0,male,brown/white
80230,61-70,female,9,92,Chihuahua,False,,False,small/companion,2017.0,female,beige
80248,61-70,male,4,42,Jack Russel Terrier,False,,False,small/companion,2009.0,female,brown/white
80258,61-70,male,11,111,Dachshund,False,,False,small/companion,2009.0,female,red/black
80258,61-70,male,11,111,Weimaraner,False,,False,large/working,2016.0,female,gray
80267,41-50,male,12,122,Mixed breed (small),False,,False,small/companion,2006.0,male,brown
80272,51-60,male,9,91,Fox Terrier,False,,False,small/companion,2017.0,male,black/white
80319,51-60,female,10,102,Mixed breed (small),False,,False,small/companion,2006.0,male,brown/black
80335,61-70,female,12,122,Irish Setter,False,Golden Retriever,False,large/working,2008.0,male,brown
80370,61-70,male,12,121,German Shepherd,False,,False,large/working,2016.0,male,black/brown
80382,61-70,female,10,102,Dachshund,False,,False,small/companion,2008.0,male,brown
80383,91-100,female,4,44,Maltese,False,Chihuahua,False,small/companion,2014.0,female,white
80404,61-70,male,7,72,German Spaniel,False,,False,large/working,2015.0,male,brown roan
80406,61-70,male,11,111,Labrador Retriever,False,,False,large/working,2008.0,female,black
80407,81-90,male,7,72,Labrador Retriever,False,,False,large/working,2012.0,female,black
80410,61-70,female,3,33,Labrador Retriever,False,,False,large/working,2012.0,female,black
80412,51-60,male,2,21,Labrador Retriever,False,,False,large/working,2012.0,male,black
80416,51-60,female,9,91,Labrador Retriever,False,,False,large/working,2016.0,male,black
80434,61-70,female,7,71,Poodle,True,,False,small/companion,2006.0,male,black
80491,71-80,female,6,63,Chihuahua,False,,False,small/companion,2006.0,female,brown
80493,81-90,female,11,119,Shih Tzu,False,,False,small/companion,2006.0,male,white/black
80500,61-70,male,11,111,Boxer,False,,False,large/working,2010.0,female,golden-brown
